,AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
1575,59.0,Bắc Ninh,pm25,7.0,26.0,70.0,10.0,6.0,1005.0,51.0,59.0,3.0,32.0,2.5,2021-07-06 09:00:00,Moderate,21.0272212,106.0342099
1580,35.0,Đà Nẵng,pm25,2.0,24.0,88.0,10.0,11.0,1006.0,23.0,35.0,28.0,26.0,2.0,2021-07-06 09:00:00,Good,16.074,108.217
1586,98.0,Cao Bằng,pm10,5.0,25.0,98.8,11.0,1.0,978.9,98.0,90.0,1.0,25.2,2.0,2021-07-06 09:00:00,Moderate,22.6782,106.245
1587,76.0,Hồ Chí Minh,pm25,5.0,25.0,72.0,11.0,6.0,1007.0,45.0,76.0,4.6,30.5,0.7,2021-07-14 10:00:00,Moderate,10.782978,106.700711
1588,40.0,Hà Nội,aqi,5.0,22.0,52.0,11.0,6.0,1007.0,45.0,40.0,4.6,33.0,4.6,2021-07-14 10:00:00,Good,21.0811211,105.8180306
1589,65.0,Hà Nội,pm25,0.1,23.0,52.0,12.8,3.3,1006.0,45.0,65.0,5.1,34.0,4.6,2021-07-14 10:00:00,Moderate,21.0215063,105.8188748
1590,11.0,Gia Lai,pm25,1.0,21.4,76.7,2.0,9.0,922.5,10.0,11.0,14.0,25.8,1.0,2021-07-14 11:00:00,Good,13.998599,107.996482
1592,61.0,Hà Nội,pm10,7.0,22.0,52.0,23.0,4.0,1007.0,61.0,58.0,5.0,33.0,4.6,2021-07-14 09:00:00,Moderate,21.04975,105.74187
1596,16.0,Quảng Ninh,pm10,1.0,26.6,96.0,7.0,6.0,996.6,16.0,14.0,2.0,27.3,1.0,2021-07-12 05:00:00,Good,21.0357507,106.7641068
1597,50.0,Bắc Ninh,pm10,1.0,22.0,52.0,3.0,14.0,1007.0,50.0,33.0,15.0,33.0,4.6,2021-07-14 10:00:00,Good,21.1232473,106.2883295
1598,38.0,Bắc Ninh,pm25,7.0,22.5,53.5,1.0,6.0,1007.0,30.0,38.0,3.0,33.0,4.3,2021-07-14 11:00:00,Good,21.0272212,106.0342099
1600,17.0,Hà Nội,pm25,2.0,24.5,64.5,6.0,6.0,1007.0,12.0,17.0,4.6,32.0,4.3,2021-07-14 09:00:00,Good,20.98832,105.854897
1601,24.0,Hà Nội,pm25,5.0,24.5,64.5,20.0,6.0,1007.0,21.0,24.0,4.6,32.0,4.3,2021-07-14 09:00:00,Good,21.01994,105.77056
1602,42.0,Hà Nội,pm25,3.0,22.5,53.5,8.0,4.0,1007.0,41.0,42.0,1.0,33.0,4.3,2021-07-14 09:00:00,Good,21.01525,105.80013
1603,40.0,Đà Nẵng,pm25,4.0,23.0,52.0,11.0,18.0,1007.0,31.0,40.0,33.0,34.0,3.0,2021-07-14 11:00:00,Good,16.074,108.217
1605,57.0,Hà Nội,pm25,6.0,22.0,52.0,10.0,6.0,1007.0,44.0,57.0,4.6,33.0,4.6,2021-07-14 09:00:00,Moderate,21.02022,105.81232
